"","uniqueID","gender","firstCount","lastCount","midCount","allCount","firstCount15","lastCount15","midCount15","allCount15"
"127775","Justin R McCrary","male",0,0,1,1,0,0,0,0
"127777","Justin M Lee","male",0,0,2,2,0,0,2,2
"127780","Justin R Sysol","male",0,0,1,1,0,0,1,1
"127781","Justin Waltz","male",0,0,1,1,0,0,0,0
"127782","Justin G L M Luermans","male",1,0,0,1,0,0,0,0
"127783","Justin Grenet","male",0,0,1,1,0,0,1,1
"127791","Justin List","male",0,0,1,1,0,0,1,1
"127797","Justin P Levisay","male",0,0,1,1,0,0,0,0
"127801","Justina C Wu","female",1,0,5,6,0,0,1,1
"127807","Justine Barajas","female",0,0,2,2,0,0,1,1
"127808","Justine Shults","female",0,0,1,1,0,0,1,1
"127810","Justine Kocurek","female",0,0,1,1,0,0,0,0
"127811","Justine Davies","female",0,0,1,1,0,0,0,0
"127812","Justine E Yu","female",0,0,2,2,0,0,2,2
"127813","Justine Gellen-Dautremer","female",0,0,1,1,0,0,1,1
"127815","Justine Lachmann","female",0,0,2,2,0,0,0,0
"127817","Justine Bhar-Amato","female",0,0,1,1,0,0,1,1
"127818","Justo Sierra-Johnson","male",2,0,3,5,0,0,0,0
"127821","Justo Aznar","male",0,0,1,1,0,0,0,0
"127824","Justo Juli? ","male",0,0,1,1,0,0,1,1
"127825","Justo Juli??-Calvo","male",0,0,1,1,0,0,1,1
"127826","Justo Lorenzo Bermejo","male",0,0,1,1,0,0,1,1
"127827","Justo Juli??","male",0,0,1,1,0,0,1,1
"127828","Justus Rach","male",0,0,1,1,0,0,1,1
"127829","Justus Strauch","male",0,0,2,2,0,0,0,0
"127830","Justus Duyster","male",0,0,1,1,0,0,0,0
"127831","Justus Nonhoff","male",0,0,1,1,0,0,1,1
"127833","Justyna Rybicka","female",1,0,0,1,1,0,0,1
"127834","Justyna Waitkowska","female",0,0,1,1,0,0,0,0
"127835","Jutaro Yamada","unknown",0,0,2,2,0,0,0,0
"127837","Jutta Meyer-Kirchrath","female",0,0,2,2,0,0,0,0
"127838","Jutta Weber-Eibel","female",0,0,1,1,0,0,0,0
"127839","Jutta M Palmen","female",0,0,6,6,0,0,3,3
"127840","Jutta Heinrich-Nols","female",0,0,1,1,0,0,1,1
"127841","Jutta Gamper","female",0,0,1,1,0,0,1,1
"127843","Jutta Dierkes","female",0,1,0,1,0,0,0,0
"127845","Jutta Schaper","female",0,3,1,4,0,0,0,0
"127847","Jutta Bergler-Klein","female",2,0,2,4,0,0,0,0
"127851","Jutta Ziemann","female",0,0,1,1,0,0,0,0
"127854","Jutta Ruf-Richter","female",0,0,1,1,0,0,0,0
"127855","Jutta Weisser","female",0,0,1,1,0,0,0,0
"127859","Jutta K??pper-Nybelen","female",0,0,1,1,0,0,0,0
"127861","Juuso Blomster","male",0,0,1,1,0,0,1,1
"127862","Juuso M?¤kinen","male",1,0,0,1,0,0,0,0
"127863","Juying Qian","unknown",0,0,1,1,0,0,1,1
"127864","Juyong Brian Kim","male",1,0,0,1,1,0,0,1
"127865","Jwari Ahn","unknown",0,0,1,1,0,0,0,0
"127866","Jye-Yu C Backlund","unknown",0,0,1,1,0,0,1,1
"127867","Jyh-Hong Chen","unknown",4,3,20,27,0,0,1,1
"127892","Jyh-Wen Chai","unknown",0,0,1,1,0,0,0,0
"127895","Jyothis T George","male",0,0,3,3,0,0,3,3
"127898","Jyothy J Puthumana","female",0,0,2,2,0,0,2,2
"127900","Jyoti K Patel","female",1,0,3,4,1,0,1,2
"127904","Jyotiranjan Pradhan","male",0,0,1,1,0,0,1,1
"127905","Jyotishman Pathak","unknown",0,0,1,1,0,0,1,1
"127906","Jyotsna Garg","female",0,0,5,5,0,0,1,1
"127909","Jyotsna Mulgund","female",0,0,2,2,0,0,0,0
"127913","Jyotsna Maddury","female",0,0,1,1,0,0,1,1
"127914","Jyri Lommi","male",0,1,3,4,0,0,0,0
"127918","Jyri O Toikka","male",0,0,1,1,0,0,0,0
"127919","Jyrki K Virtanen","male",1,0,1,2,0,0,0,0
"127921","Jyun-ei Obata","unknown",1,0,5,6,0,0,0,0
"127927","Jyunko Hotchi","unknown",0,0,1,1,0,0,1,1
"127928","Jyunya Sugiura","unknown",0,0,1,1,0,0,1,1
"127929","K-H Kuck","male",0,0,1,1,0,0,0,0
"127930","K-Raman Purushothaman","male",1,0,5,6,1,0,0,1
"127931","K-H J?¶ckel","male",0,1,0,1,0,0,0,0
"127933","K-F Appel","male",0,0,4,4,0,0,1,1
"127934","K-H Mak","male",1,0,0,1,0,0,0,0
"127936","K-M M??ller","male",0,0,2,2,0,0,0,0
"127941","K-S Chia","male",0,0,1,1,0,0,0,0
"127953","Ka Tak Wong","female",0,0,1,1,0,0,0,0
"127954","Ka Sing Lawrence Wong","female",1,0,0,1,1,0,0,1
"127955","Ka-Wing Au","female",0,0,2,2,0,0,1,1
"127956","Ka He","female",2,0,0,2,0,0,0,0
"127958","Ka Hou Lao","female",0,0,1,1,0,0,1,1
"127960","Ka-Tak Wong","female",0,0,1,1,0,0,1,1
"127961","Kaan Kaya","male",0,0,1,1,0,0,0,0
"127962","Kaare Harald B??naa","male",2,2,1,5,0,2,0,2
"127965","Kaare T Jensen","male",0,0,1,1,0,0,1,1
"127967","Kaare Christensen","male",0,1,0,1,0,1,0,1
"127969","Kaarin M?¤kikallio","female",2,0,1,3,0,0,0,0
"127972","Kaatje Goetschalckx","female",0,0,1,1,0,0,1,1
"127973","Kaberi Dasgupta","female",1,0,0,1,0,0,0,0
"127974","Kaberi Daskupta","female",0,0,1,1,0,0,1,1
"127975","Kachon Yanyong","unknown",0,0,1,1,0,0,0,0
"127976","Kada Klouche","unknown",0,0,2,2,0,0,0,0
"127978","Kadesha Collins-Fletcher","female",0,0,1,1,0,0,0,0
"127979","Kadhim Sulaiman","unknown",0,0,1,1,0,0,1,1
"127980","Kadir Caliskan","male",0,2,2,4,0,2,1,3
"127984","Kaduo Arai","unknown",0,0,1,1,0,0,1,1
"127985","Kae Nishio","female",0,0,1,1,0,0,0,0
"127986","Kae Nakamura","female",0,0,1,1,0,0,0,0
"127987","Kae Fukuyama","female",0,0,1,1,0,0,0,0
"127988","Kaeng W Lee","unknown",1,0,1,2,0,0,0,0
"127990","Kaffer Kara","unknown",0,0,2,2,0,0,2,2
"127992","Kagami Miyaji","female",0,0,2,2,0,0,2,2
"127994","Kahraman Tanriverdi","male",0,0,2,2,0,0,1,1
"127996","Kai S Lindgren","male",0,0,3,3,0,0,0,0
"127997","Kai Hu","male",0,0,6,6,0,0,2,2
"127998","Kai-Hang Yiu","male",1,0,2,3,1,0,1,2
"127999","Kai U Juergens","male",1,0,1,2,0,0,0,0
"128000","Kai C Wollert","male",6,9,12,27,1,3,3,7
"128003","Kai Kang","male",1,0,0,1,1,0,0,1
"128004","Kai Nassenstein","male",1,0,3,4,0,0,1,1
"128005","Kai Huang","male",0,0,1,1,0,0,1,1
"128006","Kai-Jen Chuang","male",0,0,1,1,0,0,0,0
"128008","Kai Zacharowski","male",0,0,3,3,0,0,3,3
"128009","Kai Chen","male",0,0,5,5,0,0,3,3
"128010","Kai Sun","male",0,0,2,2,0,0,1,1
"128011","Kai Helge Schmidt","male",1,2,0,3,1,0,0,1
"128012","Kai-Chien Yang","male",1,0,1,2,1,0,0,1
"128013","Kai Friedrichs","male",0,0,3,3,0,0,2,2
"128014","Kai Mao","male",0,0,1,1,0,0,1,1
"128015","Kai Billinger","male",0,0,2,2,0,0,0,0
"128017","Kai Wang","male",0,0,5,5,0,0,1,1
"128018","Kai P Savonen","male",2,0,0,2,0,0,0,0
"128020","Kai Nyman","male",0,0,2,2,0,0,0,0
"128021","Kai Higashigaito","male",1,0,0,1,1,0,0,1
"128024","Kai Tang","male",0,0,1,1,0,0,1,1
"128025","Kai Hogrefe","male",0,0,1,1,0,0,1,1
"128027","Kai M Schmidt-Ott","male",0,0,1,1,0,0,1,1
"128028","Kai Yiu J A M Ho","male",0,0,2,2,0,0,0,0
"128029","Kai M Eggers","male",6,0,2,8,2,0,2,4
"128030","Kai Schuh","male",0,0,5,5,0,0,1,1
"128036","Kai Pinkernell","male",0,0,1,1,0,0,0,0
"128045","Kai-Feng Xu","male",0,0,1,1,0,0,1,1
"128047","Kai-Sheng Hsieh","male",0,0,2,2,0,0,0,0
"128049","Kai Liu","male",1,0,0,1,0,0,0,0
"128051","Kai Hahn","male",0,0,1,1,0,0,1,1
"128056","Kai M??llerleile","male",0,0,3,3,0,0,0,0
"128057","Kai Andersen","male",0,1,2,3,0,0,0,0
"128060","Kai-Huat Lam","male",0,0,1,1,0,0,1,1
"128063","Kai-Hu Shi","male",0,0,2,2,0,0,2,2
"128072","Kai Xu","male",0,0,1,1,0,0,0,0
"128077","Kai Kiviluoma","male",0,0,1,1,0,0,1,1
"128080","Kai Muellerleile","male",0,0,1,1,0,0,0,0
"128082","Kai U Markus","male",0,0,2,2,0,0,0,0
"128088","Kai Jen Chuang","male",1,0,0,1,0,0,0,0
"128090","Kai von Harbou","male",0,0,1,1,0,0,0,0
"128092","Kai Rosport","male",0,0,1,1,0,0,1,1
"128094","Kai Kendziorra","male",0,0,1,1,0,0,0,0
"128098","Kai-Da Cheng","male",0,0,1,1,0,0,1,1
"128099","Kai Thorsten Laser","male",0,0,1,1,0,0,1,1
"128102","Kai Kammers","male",0,0,1,1,0,0,1,1
"128103","Kai Zhou","male",0,0,1,1,0,0,1,1
"128106","Kai Kappert","male",1,0,1,2,1,0,1,2
"128109","Kai Jaquet","male",0,0,1,1,0,0,0,0
"128118","Kai Pies","male",0,0,1,1,0,0,1,1
"128125","Kai'En Leong","unknown",1,0,0,1,1,0,0,1
"128126","Kaichiro Kamiya","unknown",0,1,5,6,0,1,1,2
"128129","Kaichiro Manabe","unknown",0,0,1,1,0,0,1,1
"128133","Kaie Ojamaa","female",0,0,1,1,0,0,0,0
"128134","Kaifeng Liu","unknown",0,0,1,1,0,0,1,1
"128135","Kaijun Wang","unknown",0,0,11,11,0,0,10,10
"128138","Kaijun Cui","unknown",0,2,0,2,0,2,0,2
"128148","Kailiang Luo","unknown",0,0,1,1,0,0,0,0
"128149","Kaing Liu","unknown",0,0,1,1,0,0,0,0
"128150","Kaiqi Sun","unknown",0,0,2,2,0,0,2,2
"128152","Kaisa M M?¤ki-Pet?¤j?¤","female",3,0,1,4,1,0,1,2
"128156","Kaisa Yl?¤nen","female",1,0,0,1,1,0,0,1
"128157","Kaishi Satomi","unknown",0,0,1,1,0,0,1,1
"128158","Kaisu H Pitkala","female",0,0,2,2,0,0,0,0
"128159","Kaisu H Pitk?¤l?¤","female",0,0,2,2,0,0,0,0
"128162","Kaitao Li","unknown",0,0,1,1,0,0,1,1
"128163","Kaitleen Samse","unknown",0,0,1,1,0,0,1,1
"128164","Kaitlen Samse","female",0,0,1,1,0,0,1,1
"128165","Kaitlin Allen","female",0,0,1,1,0,0,1,1
"128166","Kaitlyn Daniels","female",0,0,1,1,0,0,1,1
"128167","Kaivan Khavandi","unknown",0,0,1,1,0,0,0,0
"128168","Kaiyum Sheik Joesoef","unknown",0,0,2,2,0,0,1,1
"128170","Kaizheng Gong","unknown",0,0,1,1,0,0,1,1
"128171","Kaj E Klaaborg","male",0,0,1,1,0,0,1,1
"128172","Kaja Breckwoldt","female",0,0,1,1,0,0,1,1
"128173","Kajetan Poprawski","male",0,1,0,1,0,0,0,0
"128174","Kaku Nakano","unknown",0,0,3,3,0,0,1,1
"128176","Kaku A So-Armah","unknown",0,0,1,1,0,0,1,1
"128178","Kakuya Kitagawa","unknown",0,0,7,7,0,0,2,2
"128185","Kala Mehta","female",0,0,1,1,0,0,1,1
"128186","Kaleab N Asrress","unknown",1,0,5,6,1,0,5,6
"128192","Kaleizu Teodoro Rosa","unknown",0,0,1,1,0,0,0,0
"128193","Kalen N Olson","male",0,0,1,1,0,0,1,1
"128194","Kalervo Werkkala","unknown",0,0,3,3,0,0,0,0
"128197","Kalevi Py?¶r?¤l?¤","male",0,2,6,8,0,0,0,0
"128205","Kalgi Modi","unknown",0,0,1,1,0,0,1,1
"128206","Kalie Y Kebed","female",0,0,1,1,0,0,1,1
"128207","Kalina Kawecka-Jaszcz","female",0,0,1,1,0,0,0,0
"128208","Kalinda Griffiths","unknown",0,0,1,1,0,0,1,1
"128209","Kalkidan Bishu","unknown",1,0,1,2,1,0,0,1
"128211","Kalliopi Pilichou","female",2,0,3,5,1,0,1,2
"128212","Kalliopi Ntalakoura","female",0,0,1,1,0,0,0,0
"128217","Kalliopi Pillichou","female",0,0,1,1,0,0,0,0
"128218","Kallirrhoe Kourea","unknown",0,0,1,1,0,0,0,0
"128219","Kalman Toth","female",0,0,1,1,0,0,1,1
"128220","Kalman Huettle","female",0,0,1,1,0,0,1,1
"128221","Kalon K L Ho","male",3,2,34,39,0,1,2,3
"128260","Kalpa De Silva","female",0,0,5,5,0,0,4,4
"128265","Kalpana Prakasa","female",0,0,6,6,0,0,0,0
"128267","Kalpana Ballal","female",0,0,2,2,0,0,0,0
"128271","Kalpana Lakhani","female",1,0,0,1,0,0,0,0
"128272","Kalpana Vijayan","female",0,0,1,1,0,0,1,1
"128275","Kalpesh T Vakharia","male",0,0,1,1,0,0,0,0
"128276","Kalyanam Shivkumar","unknown",0,9,8,17,0,4,5,9
"128293","Kalyani G Bharadwaj","female",0,0,1,1,0,0,0,0
"128294","Kalyani D Panse","female",0,0,1,1,0,0,0,0
"128295","Kam S Woo","female",5,5,1,11,0,1,0,1
"128306","Kamal H Masaki","male",1,0,5,6,0,0,0,0
"128307","Kamal Gupta","male",0,2,1,3,0,0,1,1
"128308","Kamal R Khabbaz","male",0,1,4,5,0,1,0,1
"128312","Kamal M F Itani","male",0,0,1,1,0,0,1,1
"128314","Kamal H Sharma","male",0,0,1,1,0,0,1,1
"128315","Kamal H Abeywickrama","male",0,0,1,1,0,0,0,0
"128319","Kamal Chowdhury","male",0,0,1,1,0,0,1,1
"128324","Kamala Tamirisa","female",0,0,5,5,0,0,0,0
"128329","Kamala D Patel","female",0,0,1,1,0,0,0,0
"128330","Kamaldeep Singh","female",0,0,1,1,0,0,1,1
"128331","Kamaneh Montazeri","unknown",1,0,1,2,1,0,1,2
"128333","Kambeez Berenji","unknown",0,0,2,2,0,0,0,0
"128335","Kambis Mashayekhi","unknown",0,1,0,1,0,1,0,1
"128336","Kambiz Norozi","male",0,1,1,2,0,1,0,1
"128338","Kambiz Parcham-Azad","male",0,0,1,1,0,0,0,0
"128339","Kamellia R Dimitrova","unknown",0,0,2,2,0,0,2,2
"128341","Kamil Muhyieddeen","male",1,0,0,1,1,0,0,1
"128342","Kamil F Faridi","male",0,0,1,1,0,0,1,1
"128343","Kamil W Nowicki","male",0,0,1,1,0,0,1,1
"128344","Kamil Szostek","male",0,0,1,1,0,0,1,1
"128345","Kamilla Frankenbergerova","female",0,0,1,1,0,0,0,0
"128346","Kamilla Kelemen","female",0,0,1,1,0,0,1,1
